EDUC,EDUC_value,EDUC_desc
0,N/A or no schooling,Educational attainment [general version]
1,Nursery school to grade 4,Educational attainment [general version]
2,"Grade 5, 6, 7, or 8",Educational attainment [general version]
3,Grade 9,Educational attainment [general version]
4,Grade 10,Educational attainment [general version]
5,Grade 11,Educational attainment [general version]
6,Grade 12,Educational attainment [general version]
7,1 year of college,Educational attainment [general version]
8,2 years of college,Educational attainment [general version]
9,3 years of college,Educational attainment [general version]
10,4 years of college,Educational attainment [general version]
11,5+ years of college,Educational attainment [general version]
99,Missing,Educational attainment [general version]
