AGE,AGE_group
0,Under 5
1,Under 5
2,Under 5
3,Under 5
4,Under 5
5,5-17
6,5-17
7,5-17
8,5-17
9,5-17
10,5-17
11,5-17
12,5-17
13,5-17
14,5-17
15,5-17
16,5-17
17,5-17
18,18-24
19,18-24
20,18-24
21,18-24
22,18-24
23,18-24
24,18-24
25,25-34
26,25-34
27,25-34
28,25-34
29,25-34
30,25-34
31,25-34
32,25-34
33,25-34
34,25-34
35,35-44
36,35-44
37,35-44
38,35-44
39,35-44
40,35-44
41,35-44
42,35-44
43,35-44
44,35-44
45,45-54
46,45-54
47,45-54
48,45-54
49,45-54
50,45-54
51,45-54
52,45-54
53,45-54
54,45-54
55,55-64
56,55-64
57,55-64
58,55-64
59,55-64
60,55-64
61,55-64
62,55-64
63,55-64
64,55-64
65,65-74
66,65-74
67,65-74
68,65-74
69,65-74
70,65-74
71,65-74
72,65-74
73,65-74
74,65-74
75,75+
76,75+
77,75+
78,75+
79,75+
80,75+
81,75+
82,75+
83,75+
84,75+
85,75+
86,75+
87,75+
88,75+
89,75+
90,75+
91,75+
92,75+
93,75+
94,75+
95,75+
96,75+
97,75+
98,75+
99,75+
100,75+
101,75+
102,75+
103,75+
104,75+
105,75+
106,75+
107,75+
108,75+
109,75+
110,75+
111,75+
112,75+
113,75+
114,75+
115,75+
116,75+
117,75+
118,75+
119,75+
120,75+
